spreadsheetId,accountId,month,folder_id,currentPeriodTotalCost
1XEj0J19WH4juW5GVn_JauVNh4VAdZO3KcUD4UlkgBEY,7080 ,May 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,944.96
1XEj0J19WH4juW5GVn_JauVNh4VAdZO3KcUD4UlkgBEY,7080 ,Jun 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,944.96
1XEj0J19WH4juW5GVn_JauVNh4VAdZO3KcUD4UlkgBEY,7080 ,Jul 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,944.96
1XEj0J19WH4juW5GVn_JauVNh4VAdZO3KcUD4UlkgBEY,7080 ,Aug 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,944.96
1XEj0J19WH4juW5GVn_JauVNh4VAdZO3KcUD4UlkgBEY,7080 ,Sep 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,944.96
1XEj0J19WH4juW5GVn_JauVNh4VAdZO3KcUD4UlkgBEY,7080 ,Oct 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,944.96
1XEj0J19WH4juW5GVn_JauVNh4VAdZO3KcUD4UlkgBEY,7080 ,Nov 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,944.96
1XEj0J19WH4juW5GVn_JauVNh4VAdZO3KcUD4UlkgBEY,7080 ,Dec 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,944.96
1CE33wvTmZJy5D6pf2IYFdE1NXtcrP0er7GaooAHucHw,5949 ,Jan 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,376.78
1CE33wvTmZJy5D6pf2IYFdE1NXtcrP0er7GaooAHucHw,5949 ,Feb 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,376.78
1CE33wvTmZJy5D6pf2IYFdE1NXtcrP0er7GaooAHucHw,5949 ,Mar 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,376.78
1CE33wvTmZJy5D6pf2IYFdE1NXtcrP0er7GaooAHucHw,5949 ,Apr 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,376.78
1CE33wvTmZJy5D6pf2IYFdE1NXtcrP0er7GaooAHucHw,5949 ,May 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,376.78
1CE33wvTmZJy5D6pf2IYFdE1NXtcrP0er7GaooAHucHw,5949 ,Jun 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,376.78
